AccessionNumber,PlantingNumber,Position,SurveyDatePossiblyDead,PossiblyDead,SurveyDateDead,Dead
2021-2142,4,234,7/26/2023,TRUE,9/19/2023,TRUE
2021-2142,5,90,7/25/2023,FALSE,9/19/2023,FALSE
2021-2142,6,88,7/25/2023,TRUE,9/19/2023,TRUE
2021-2142,7,200,7/26/2023,FALSE,9/19/2023,FALSE
2021-2142,8,209,7/26/2023,TRUE,9/19/2023,TRUE
2021-2142,9,13,7/25/2023,FALSE,9/19/2023,FALSE
2021-2142,10,11,7/25/2023,TRUE,9/19/2023,TRUE
2021-2142,11,99,7/25/2023,FALSE,9/19/2023,FALSE
2021-2143,2,75,7/25/2023,FALSE,9/19/2023,FALSE
2021-2143,3,147,7/26/2023,FALSE,9/19/2023,FALSE
2021-2143,4,222,7/26/2023,FALSE,9/19/2023,FALSE
2021-2143,5,23,7/25/2023,FALSE,9/19/2023,FALSE
2021-2143,6,142,7/26/2023,FALSE,9/19/2023,FALSE
2021-2143,7,30,7/25/2023,FALSE,9/19/2023,TRUE
2021-2144,2,162,7/26/2023,TRUE,9/19/2023,TRUE
2021-2144,3,9,7/25/2023,TRUE,9/19/2023,TRUE
2021-2144,4,62,7/25/2023,TRUE,9/19/2023,TRUE
2021-2144,5,65,7/25/2023,FALSE,9/19/2023,FALSE
2021-2144,6,106,7/26/2023,FALSE,9/19/2023,FALSE
2021-2144,7,5,7/25/2023,FALSE,9/19/2023,FALSE
2021-2145,2,125,7/26/2023,FALSE,9/19/2023,FALSE
2021-2145,3,70,7/25/2023,FALSE,9/19/2023,FALSE
2021-2145,4,45,7/25/2023,TRUE,9/19/2023,TRUE
2021-2145,5,120,7/26/2023,TRUE,9/19/2023,TRUE
2021-2145,6,206,7/26/2023,TRUE,9/19/2023,TRUE
2021-2145,7,111,7/26/2023,FALSE,9/19/2023,FALSE
2021-2146,2,6,7/25/2023,TRUE,9/19/2023,TRUE
2021-2147,2,143,7/26/2023,TRUE,9/19/2023,TRUE
2021-2149,2,37,7/25/2023,TRUE,9/19/2023,TRUE
2021-2150,2,124,7/26/2023,FALSE,9/19/2023,FALSE
2021-2150,3,122,7/26/2023,FALSE,9/19/2023,FALSE
2021-2150,4,92,7/25/2023,FALSE,9/19/2023,FALSE
2021-2150,5,140,7/26/2023,FALSE,9/19/2023,FALSE
2021-2150,6,180,7/26/2023,FALSE,9/19/2023,FALSE
2021-2153,2,164,7/26/2023,TRUE,9/19/2023,TRUE
2021-2153,3,212,7/26/2023,TRUE,9/19/2023,TRUE
2021-2153,4,107,7/26/2023,FALSE,9/19/2023,FALSE
2021-2153,5,127,7/26/2023,FALSE,9/19/2023,FALSE
2021-2154,2,151,7/26/2023,FALSE,9/19/2023,FALSE
2021-2154,3,51,7/25/2023,FALSE,9/19/2023,FALSE
2021-2154,4,29,7/25/2023,FALSE,9/19/2023,FALSE
2021-2154,5,166,7/26/2023,TRUE,9/19/2023,TRUE
2021-2154,6,228,7/26/2023,TRUE,9/19/2023,TRUE
2021-2154,7,7,7/25/2023,TRUE,9/19/2023,TRUE
2021-2155,2,241,7/26/2023,TRUE,9/19/2023,TRUE
2021-2155,3,230,7/26/2023,FALSE,9/19/2023,FALSE
2021-2155,4,100,7/25/2023,FALSE,9/19/2023,FALSE
2021-2155,5,54,7/25/2023,FALSE,9/19/2023,FALSE
2021-2155,6,108,7/26/2023,TRUE,9/19/2023,TRUE
2021-2155,7,83,7/25/2023,FALSE,9/19/2023,FALSE
2021-2156,2,110,7/26/2023,FALSE,9/19/2023,FALSE
2021-2156,3,14,7/25/2023,FALSE,9/19/2023,FALSE
2021-2156,4,36,7/25/2023,TRUE,9/19/2023,TRUE
2021-2156,5,145,7/26/2023,FALSE,9/19/2023,FALSE
2021-2156,6,129,7/26/2023,FALSE,9/19/2023,FALSE
2021-2156,7,192,7/26/2023,TRUE,9/19/2023,TRUE
2021-2156,8,60,7/25/2023,TRUE,9/19/2023,TRUE
2021-2157,2,130,7/26/2023,TRUE,9/19/2023,TRUE
2021-2157,3,213,7/26/2023,TRUE,9/19/2023,TRUE
2021-2157,4,194,7/26/2023,FALSE,9/19/2023,FALSE
2021-2157,5,225,7/26/2023,TRUE,9/19/2023,TRUE
2021-2157,6,117,7/26/2023,FALSE,9/19/2023,FALSE
2021-2157,7,168,7/26/2023,FALSE,9/19/2023,FALSE
2021-2158,2,134,7/26/2023,TRUE,9/19/2023,TRUE
2021-2158,3,232,7/26/2023,TRUE,9/19/2023,TRUE
2021-2158,4,183,7/26/2023,TRUE,9/19/2023,TRUE
2021-2158,5,104,7/26/2023,FALSE,9/19/2023,FALSE
2021-2158,6,131,7/26/2023,FALSE,9/19/2023,FALSE
2021-2158,7,216,7/26/2023,TRUE,9/19/2023,TRUE
2021-2159,2,132,7/26/2023,TRUE,9/19/2023,TRUE
2021-2159,3,221,7/26/2023,TRUE,9/19/2023,TRUE
2021-2159,4,80,7/25/2023,FALSE,9/19/2023,FALSE
2021-2160,2,184,7/26/2023,FALSE,9/19/2023,FALSE
2021-2160,3,121,7/26/2023,FALSE,9/19/2023,FALSE
2021-2160,4,58,7/25/2023,FALSE,9/19/2023,FALSE
2021-2160,5,10,7/25/2023,FALSE,9/19/2023,FALSE
2021-2160,6,135,7/26/2023,FALSE,9/19/2023,FALSE
2021-2160,7,240,7/26/2023,TRUE,9/19/2023,TRUE
2021-2160,8,204,7/26/2023,FALSE,9/19/2023,FALSE
2021-2160,9,198,7/26/2023,FALSE,9/19/2023,FALSE
2021-2160,10,78,7/25/2023,FALSE,9/19/2023,FALSE
2021-2162,2,181,7/26/2023,FALSE,9/19/2023,FALSE
2021-2163,2,116,7/26/2023,FALSE,9/19/2023,FALSE
2021-2163,3,172,7/26/2023,TRUE,9/19/2023,TRUE
2021-2163,4,103,7/26/2023,FALSE,9/19/2023,FALSE
2021-2163,5,105,7/26/2023,TRUE,9/19/2023,TRUE
2021-2163,6,148,7/26/2023,TRUE,9/19/2023,TRUE
2021-2163,7,178,7/26/2023,TRUE,9/19/2023,TRUE
2021-2163,8,34,7/25/2023,FALSE,9/19/2023,FALSE
2021-2163,9,186,7/26/2023,FALSE,9/19/2023,FALSE
2021-2164,2,44,7/25/2023,TRUE,9/19/2023,TRUE
2021-2164,3,182,7/26/2023,TRUE,9/19/2023,TRUE
2021-2164,4,205,7/26/2023,TRUE,9/19/2023,TRUE
2021-2164,5,71,7/25/2023,TRUE,9/19/2023,TRUE
2021-2164,6,233,7/26/2023,TRUE,9/19/2023,TRUE
2021-2164,7,48,7/25/2023,FALSE,9/19/2023,FALSE
2021-2164,8,113,7/26/2023,FALSE,9/19/2023,FALSE
2021-2164,9,22,7/25/2023,TRUE,9/19/2023,TRUE
2021-2165,2,26,7/25/2023,FALSE,9/19/2023,TRUE
2021-2165,3,85,7/25/2023,FALSE,9/19/2023,FALSE
2021-2165,4,89,7/25/2023,TRUE,9/19/2023,TRUE
2021-2165,5,81,7/25/2023,TRUE,9/19/2023,TRUE
2021-2165,6,133,7/26/2023,FALSE,9/19/2023,FALSE
2021-2165,7,95,7/25/2023,TRUE,9/19/2023,TRUE
2021-2166,2,16,7/25/2023,TRUE,9/19/2023,TRUE
2021-2166,3,195,7/26/2023,TRUE,9/19/2023,TRUE
2021-2166,4,165,7/26/2023,FALSE,9/19/2023,FALSE
2021-2166,5,144,7/26/2023,FALSE,9/19/2023,FALSE
2021-2166,6,239,7/26/2023,FALSE,9/19/2023,FALSE
2021-2166,7,139,7/26/2023,TRUE,9/19/2023,TRUE
2021-2167,2,215,7/26/2023,TRUE,9/19/2023,TRUE
2021-2167,3,179,7/26/2023,TRUE,9/19/2023,TRUE
2021-2167,4,20,7/25/2023,FALSE,9/19/2023,FALSE
2021-2167,5,72,7/25/2023,FALSE,9/19/2023,FALSE
2021-2167,6,47,7/25/2023,TRUE,9/19/2023,TRUE
2021-2167,7,77,7/25/2023,TRUE,9/19/2023,TRUE
2021-2168,2,223,7/26/2023,FALSE,9/19/2023,FALSE
2021-2168,3,18,7/25/2023,FALSE,9/19/2023,FALSE
2021-2168,4,1,7/25/2023,FALSE,9/19/2023,TRUE
2021-2168,5,189,7/26/2023,FALSE,9/19/2023,FALSE
2021-2168,6,163,7/26/2023,TRUE,9/19/2023,TRUE
2021-2168,7,57,7/25/2023,TRUE,9/19/2023,TRUE
2021-2168,8,187,7/26/2023,FALSE,9/19/2023,FALSE
2021-2169,2,126,7/26/2023,FALSE,9/19/2023,FALSE
2021-2169,3,56,7/25/2023,FALSE,9/19/2023,FALSE
2021-2169,4,87,7/25/2023,FALSE,9/19/2023,FALSE
2021-2169,5,40,7/25/2023,TRUE,9/19/2023,TRUE
2021-2169,6,94,7/25/2023,FALSE,9/19/2023,FALSE
2021-2169,7,173,7/26/2023,FALSE,9/19/2023,FALSE
2021-2169,8,12,7/25/2023,FALSE,9/19/2023,FALSE
2021-2170,2,115,7/26/2023,FALSE,9/19/2023,FALSE
2021-2170,3,160,7/26/2023,TRUE,9/19/2023,TRUE
2021-2170,4,15,7/25/2023,TRUE,9/19/2023,TRUE
2021-2170,5,102,7/26/2023,FALSE,9/19/2023,FALSE
2021-2170,6,76,7/25/2023,FALSE,9/19/2023,FALSE
2021-2171,2,53,7/25/2023,TRUE,9/19/2023,TRUE
2021-2171,3,211,7/26/2023,FALSE,9/19/2023,FALSE
2021-2171,4,112,7/26/2023,FALSE,9/19/2023,TRUE
2021-2171,5,24,7/25/2023,TRUE,9/19/2023,TRUE
2021-2171,6,79,7/25/2023,FALSE,9/19/2023,TRUE
2021-2171,7,185,7/26/2023,FALSE,9/19/2023,FALSE
2021-2172,2,43,7/25/2023,TRUE,9/19/2023,TRUE
2021-2172,3,169,7/26/2023,FALSE,9/19/2023,FALSE
2021-2172,4,219,7/26/2023,FALSE,9/19/2023,FALSE
2021-2172,5,227,7/26/2023,FALSE,9/19/2023,FALSE
2021-2172,6,91,7/25/2023,TRUE,9/19/2023,TRUE
2021-2172,7,41,7/25/2023,FALSE,9/19/2023,FALSE
2021-2173,2,59,7/25/2023,FALSE,9/19/2023,FALSE
2021-2173,3,31,7/25/2023,FALSE,9/19/2023,FALSE
2021-2173,4,3,7/25/2023,FALSE,9/19/2023,FALSE
2021-2174,2,224,7/26/2023,TRUE,9/19/2023,TRUE
2021-2175,2,188,7/26/2023,TRUE,9/19/2023,TRUE
2021-2175,3,68,7/25/2023,TRUE,9/19/2023,TRUE
2021-2175,4,35,7/25/2023,FALSE,9/19/2023,FALSE
2021-2175,5,4,7/25/2023,FALSE,9/19/2023,FALSE
2021-2175,6,63,7/25/2023,FALSE,9/19/2023,FALSE
2021-2175,7,157,7/26/2023,FALSE,9/19/2023,FALSE
